DEALERSHIP_ID,REGION,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,PHONE_NUMBER,FAX_NUMBER,EMAIL,GENDER,AGE,NATIVE_LANGUAGE,SECOND_LANGUAGE,THIRD_LANGUAGE,POSITION_TYPE,REGIONAL_MANAGER,DEALERSHIP_MANAGER,HIRE_DATE,DATE_ENTERED
17,Central,86460,Holly,Anderson,1095 Seaboard Ave Nw,Houston,Texas,30318,United States,4043500927,(404) 350-0927,aholly@xyz.org,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
17,Central,86467,Kiam L,Giang,470 King Arnold St,Houston,Texas,30354,United States,4047679753,(404) 767-9753,,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
17,Central,86487,C T,Teague,1067 Alta Ave Ne,Houston,Texas,30307,United States,4045775766,(404) 577-5766,tct@hotmail.com,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
17,Central,86492,Jeff G,Zeanah,9430 Huntcliff Trce,Houston,Texas,30350,United States,7709927730,(770) 992-7730,zjeffg@hotmail.com,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
18,Central,86425,Alden,Pearce,11745 Montana Ave,Detroit,Michigan,90049,United States,3104764449,(310) 476-4449,palden@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
18,Central,86462,Kenneth A,Anderberg,77 E Andrews Dr Nw,Detroit,Michigan,30305,United States,4042319005,(404) 231-9005,akennetha@univ.edu,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
18,Central,86488,Chad,Teague,649 Timm Valley Rd Ne,Detroit,Michigan,30305,United States,4048691787,(404) 869-1787,tchad@mailcity.com,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
18,Central,86410,Jeffery M,Renlie,408 N Spaulding Ave,Detroit,Michigan,90036,United States,3236588564,(323) 658-8564,rjefferym@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
18,Central,86413,Daniel T,Summers,2042 W 99th St,Detroit,Michigan,90047,United States,3237552201,(323) 755-2201,sdanielt@compuserve.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
29,Central,86436,Henry,Pearce Percy,23415 Sky View Ter,Indianapolis,Indiana,95033,United States,4083532928,(408) 353-2928,phenry@univ.edu,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
29,Central,86441,Herman,Nurcanyan,10767 Rose Ave Apt 49,Indianapolis,Indiana,90034,United States,3105594646,(310) 559-4646,nherman@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
29,Central,86496,Clarence,Ernest,4046 Princeton Pl Sw,Indianapolis,Indiana,30331,United States,4046963119,(404) 696-3119,,M,42,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
29,Central,86405,Thomas A,Summer,17965 Helen Way,Indianapolis,Indiana,95033,United States,4083533563,(408) 353-3563,sthomasa@xyz.org,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
15,Central,86476,John J,Ernst,3310 Chase Rd,Minneapolis,Minnesota,30341,United States,7704558118,(770) 455-8118,ejohnh@univ.edu,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/03/2003 00:00:00
16,Central,86457,Fredia M,Bradford,30093 Washington Rd,Ann Arbour,Michigan,30344,United States,4047626374,(404) 762-6374,,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/03/2003 00:00:00
29,Central,86405,Thomas A,Summer,17965 Helen Way,Indianapolis,Indiana,95033,United States,4083533563,(408) 553-3563,sthomasa@xyz.org,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/03/2003 00:00:00
15,Central,86444,Laurencio,Zabala,1638 Mohawk St,Minneapolis,Minnesota,90026,United States,2134848515,(213) 484-8515,zlaurencio@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
19,East,86437,Alejandro,Mendez,228 W 49th St,New York,New York,90037,United States,3232330062,(323) 233-0062,,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
19,East,86468,S H,Giancola,675 W Peachtree St Ne,New York,New York,30301,United States,4045297187,(404) 529-7187,gsh@mailcity.com,M,19,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
19,East,86485,Basilio,Acain,928 Nipomo Ave,New York,New York,93402,United States,8055281886,(805) 528-1886,abasilio@univ.edu,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
20,East,86469,Daniel G,Gialloreto,8226 Brookwood Vly Cir Ne,Baltimore,Maryland,30309,United States,4043520264,(404) 352-0264,gdanielg@mailcity.com,M,19,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
21,East,86447,Alfred,David,3603 Dunn Dr Apt 102,Boston,Massachusetts,90034,United States,3108371176,(310) 837-1176,dalfred@xyz.org,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
21,East,86465,John,Giblin,273 Rumson Rd Ne,Boston,Massachusetts,30305,United States,4042379619,(404) 237-9619,gjohn@mailcity.com,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
21,East,86475,M H,Dobson,812 Ponce De Leon Ave Ne,Boston,Massachusetts,30306,United States,4048926117,(404) 892-6117,dmh@hotmail.com,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
22,East,86450,Chuck,Anders,3045 Huntshire Pl,Miami,Florida,30340,United States,7709348595,(770) 934-8595,,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
22,East,86471,John A,Ernst,3391 Kennington Ct Ne,Miami,Florida,30319,United States,4042525899,(404) 252-5899,ejohna@geocities.com,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
22,East,86477,Robert W Jr,Gibeling,2466 Sharondale Dr Ne,Miami,Florida,30305,United States,4042662730,(404) 266-2730,grobertwuniv.edu,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
22,East,86483,Laurencio,Zabala,4957 Mount Royal Dr,Miami,Florida,90041,United States,3232579547,(323) 257-9547,zlaurencio@xyz.org,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
22,East,86404,Clement,Haddad,101 S Hayworth Ave,Miami,Florida,90048,United States,3239396809,(323) 939-6809,hclement@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
23,East,86421,Bruce N,Davidson,7729 Lexington Ave,Fairfax,Virginia,90046,United States,3238826233,(323) 882-6233,dbrucen@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
23,East,86458,Robert,Brabant,881 N Highland Ave Ne,Fairfax,Virginia,30306,United States,4047244615,(404) 724-4615,brobert@univ.edu,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
23,East,86470,Scott,Giacobbe,420 Glenridge Clse Ct Ne,Fairfax,Virginia,30328,United States,4042504400,(404) 250-4400,gscott@xyz.org,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
23,East,86479,Esteban,Roach,5400 Memorial Dr,Fairfax,Virginia,30301,United States,4042986526,(404) 298-6526,,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
23,East,86490,Rich,Von Biberstein ,865 Starlight Dr Ne,Fairfax,Virginia,30342,United States,4045310430,(404) 531-0430,,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
24,East,86443,Armando,Quezada,5532 Allan St,Charleston,West Virginia,90032,United States,3233429873,(323) 342-9873,qarmando@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
24,East,86482,Boon Y,Lee,1400 S Kenmore Ave,Charleston,West Virginia,90006,United States,2137387957,(213) 738-7957,,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
25,East,86452,Khun,Be,5543 Harold Way,Atlanta,Georgia,90028,United States,3234688003,(323) 468-8003,bkhun@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
25,East,86486,Fred,Roach,222 Summerset Ln Ne,Atlanta,Georgia,30328,United States,7704819392,(770) 481-9392,rfred@hotmail.com,M,19,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
25,East,86408,Harold J,King,3165 S Barrington Ave,Atlanta,Georgia,90066,United States,3103987506,(310) 398-7506,kharoldj@compuserve.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
25,East,,Harold J,King,,Atlanta,Georgia,90066,United States,3103987506,(310) 398-7506,kharoldj@compuserve.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
26,East,86449,Antonio,Acala,1637 E 52d,West Palm Beach,Florida,90001,United States,3232348348,(323) 234-8348,aantonio@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
26,East,86493,Aloysius,Zealy,1296 Moores Mill Rd Nw,West Palm Beach,Florida,30327,United States,4043518608,(404) 351-8608,,M,19,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
26,East,86499,Kenneth A,Anderberg,3120 New Paces Fry Rd Se,West Palm Beach,Florida,30339,United States,7704371778,(770) 437-1778,akennetha@xyz.org,M,42,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
30,East,86473,Matthew C,Bracco,2424 Druid Oaks Ne,Greenwich,Connecticut,30329,United States,4046345228,(404) 634-5228,bmatthewc@univ.edu,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
30,East,86497,R,Giacalone,2123 Lenox Park Cir Ne,Greenwich,Connecticut,30319,United States,4048488892,(404) 848-8892,gr@xyz.org,M,32,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
22,East,86404,Clement,Haddad,105 S Hayworth Ave,Miami,Florida,90048,United States,3239396809,(323) 939-6809,hclement@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/03/2003 00:00:00
23,East,86421,Bruce N,Davidson,7779 Lexington Ave,Fairfax,Virginia,90046,United States,3238826233,(323) 882-6233,dbrucen@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/03/2003 00:00:00
21,East,86418,Michael,Ha,3756 Cardiff Ave Apt 209,Boston,Massachusetts,90034,United States,3105595719,(310) 559-5719,,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
22,East,86430,Gilbert,Fader,2831 Midvale Ave,Miami,Florida,90064,United States,3104461497,(310) 446-1497,fgilbert@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
1,West,86445,Casey,Teague,29 Peachtree Pl Nw,San Francisco,California,30309,United States,4048150463,(404) 815-0463,,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
1,West,86415,Alfred,Fadel,2029 Century Park E,San Francisco,California,90067,United States,3105523400,(310) 552-3400,falfred@univ.edu,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86420,Alex,David,5640 Franklin Ave,San Diego,California,90028,United States,3234645505,(323) 464-5505,dalex@geocities.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86423,Reynaldo,Reniva,1214 Silver Lake Blvd,San Diego,California,90026,United States,2134138713,(213) 413-8713,rreynaldo@geocities.com,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86426,Carl,Davidson,168 Belwood Ct,San Diego,California,95032,United States,4083561435,(408) 356-1435,dcarl@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86440,Jolena,James,1225 S Wilton Pl,San Diego,California,90019,United States,3237325656,(323) 732-5656,jjolena@univ.edu,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86474,Mavis,Bradley,8601 Roberts Dr,San Diego,California,30350,United States,7709987461,(770) 998-7461,bmavis@yahoo.com,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86478,Arturo,Martinez,3573 Buford Hwy Ne,San Diego,California,30329,United States,4043299857,(404) 329-9857,marturo@xyz.org,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
2,West,86498,Henry L,Andel,4785 Merlendale Ct Nw,San Diego,California,30327,United States,4042554700,(404) 255-4700,,M,42,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
3,West,86414,Angelo,Accardo,1242 Center Ln,Seattle,Washington,93635,United States,2098265752,(209) 826-5752,aangelo@compuserve.com,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
3,West,86416,Antonio O,Vela,3335 Garnet St,Seattle,Washington,90023,United States,3232636087,(323) 263-6087,,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
4,West,86463,Kenneth,Gibson,189 Anderson Ave Nw,Scottsdale,Arizona,30314,United States,4047928233,(404) 792-8233,gkenneth@hotmail.com,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
4,West,86466,Nick,Gibietis,1004 Marsh Trail Cir Ne,Scottsdale,Arizona,30328,United States,7703966396,(770) 396-6396,gnick@univ.edu,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
4,West,86409,Joseph,James,221 W 41st,Scottsdale,Arizona,90037,United States,3232315681,(323) 231-5681,jjoseph@mailcity.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
4,West,86412,Bobby P,Renna,1850 Whitley Ave,Scottsdale,Arizona,90028,United States,3238564909,(323) 856-4909,rbobbyp@mailcity.com,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
5,West,86431,Anthony,Vela,131 N Record Ave,Los Angeles,California,90063,United States,3232698579,(323) 269-8579,vanthony@geocities.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
5,West,,,Vela,131 N Record Ave,Los Angeles,California,90063,United States,3232698579,(323) 269-8579,vanthony@geocities.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
5,West,86434,R R,Renfro,806 S Spaulding Ave,Los Angeles,California,90036,United States,3239365604,(323) 936-5604,rrr@hotmail.com,M,62,English,Spanish,French,EXECUTIVE,,,01/02/2003 00:00:00,01/02/2003 00:00:00
5,West,86459,J F,Anderson,1818 Homestead Ave Ne,Los Angeles,California,30306,United States,4048768794,(404) 876-8794,ajf@univ.edu,M,32,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
5,West,86406,Boun S,Lee,450 S Grand View St,Los Angeles,California,90057,United States,2133864804,(213) 386-4804,,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
6,West,86424,Michael,Renk,3448 Sawtelle Blvd Apt 18,Newport Beach,California,90066,United States,3103905216,(310) 390-5216,rmichael@univ.edu,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
6,West,86432,Jose P,Velasco,1027 W 110th St,Newport Beach,California,90044,United States,3237579073,(323) 757-9073,vjosep@compuserve.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
6,West,86402,Jeffrey,James,11980 San Vicente Blvd,Newport Beach,California,90049,United States,3108265414,(310) 826-5414,jjeffrey@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
6,West,86403,Izhak,Jamatty,112 N Hayworth Ave,Newport Beach,California,90048,United States,3239318755,(323) 931-8755,jizhak@geocities.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
7,West,86427,J H,Fadeley,682 Irolo St,Denver,Colorado,90005,United States,2133805308,(213) 380-5308,,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
7,West,86453,Ebrahim,Fadakar,4018 Camero Ave,Denver,Colorado,90027,United States,3236642918,(323) 664-2918,febrahim@geocities.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
7,West,86481,Holsie,King,4201 Angeles Vista Blvd,Denver,Colorado,90008,United States,3232999551,(323) 299-9551,,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
8,West,86428,David T,Acalin,4221 Wilshire Blvd,Sacramento,California,90010,United States,3239378888,(323) 937-8888,adavidt@yahoo.com,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
8,West,86491,Christopher,Von Gal,230 Peachtree St Nw,Sacramento,California,30303,United States,4048939977,(404) 893-9977,vchristopher@geocities.com,M,19,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
9,West,86439,Hagop,Jambaziam,1640 N Hobart Blvd,San Jose,California,90027,United States,3234653014,(323) 465-3014,jhagop@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/02/2003 00:00:00
9,West,86411,Dean,Renly,7719 Lexington Ave,San Jose,California,90046,United States,3238769727,(323) 876-9727,rdean@hotmail.com,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/02/2003 00:00:00
9,West,86419,Alan,David,1925 Century Park E,San Jose,California,90067,United States,3102038000,(310) 203-8000,dalan@xyz.org,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
10,West,86448,Bernard,Davidson,9509 Sawyer St,Oakland,California,90035,United States,3108391924,(310) 839-1924,dbernard@hotmail.com,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
10,West,86472,William A,Brabson,2141 Springdale Rd Sw,Oakland,California,30315,United States,4047668150,(404) 766-8150,bwilliama@yahoo.com,M,32,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
10,West,86461,David C,Andersen,2236 Old Brooke Ln,Oakland,California,30338,United States,7703941706,(770) 394-1706,adavidc@geocities.com,M,32,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
10,West,86407,J,Kingsbury,3042 Rowena Dr,Oakland,California,90720,United States,5624305744,(562) 430-5744,kj@xyz.org,M,62,English,Spanish,French,MANAGER,,,01/03/2003 00:00:00,01/03/2003 00:00:00
27,West,86494,Beau,Teague,1131 Pinhurst Dr,Phoenix,Arizona,30339,United States,7703840477,(770) 384-0477,tbeau@xyz.org,M,19,English,Spanish,French,MANAGER,,,01/03/2003 00:00:00,01/03/2003 00:00:00
27,West,86417,Darren,Xanthos,10727 Lawler St,Phoenix,Arizona,90034,United States,3108385276,(310) 838-5276,xdarren@yahoo.com,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
28,West,86422,Owen,Davies,120 S Vignes St,Honolulu,Hawaii,90012,United States,2136251538,(213) 625-1538,dowen@mailcity.com,M,62,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
28,West,86446,Richard,Teach,1814 Village Mill Rd,Honolulu,Hawaii,30338,United States,7703965851,(770) 396-5851,trichard@univ.edu,M,32,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
28,West,86454,Ric R,Carrasquilla,12 Peachtree Ave Ne,Honolulu,Hawaii,30305,United States,4048698408,(404) 869-8408,cricr@yahoo.com,M,32,English,Spanish,French,SALESREP,,,01/03/2003 00:00:00,01/03/2003 00:00:00
28,West,86495,A G,Teague,2055 Wallace Rd Sw,Honolulu,Hawaii,30331,United States,4043442134,(404) 344-2134,,M,19,English,Spanish,French,MANAGER,,,01/03/2003 00:00:00,01/03/2003 00:00:00
7,West,86481,Holsie,King,4211 Angeles Vista Blvd,Denver,Colorado,90008,United States,3232999551,(323) 299-9551,,M,62,English,Spanish,French,SALESREP,,,01/02/2003 00:00:00,01/03/2003 00:00:00
8,West,86428,David T,Acalin,4221 Wilshire Blvd,Sacramento,California,90010,United States,3239378888,(323) 997-8888,adavidt@yahoo.com,M,62,English,Spanish,French,MANAGER,,,01/02/2003 00:00:00,01/03/2003 00:00:00
